work_id,source_file,pg_number,title,year_written,genre,broad_genre,parsing_notes,has_chapter_structure
modest_proposal,pg1080_A_Modest_Proposal.txt,1080,A Modest Proposal,1729,satirical_essay,Satire,"single document, paragraphs only; no internal divisions",False
prayer_for_stella_1,pg4738_Three_Prayers_and_Sermons.txt,4738,First Prayer for Stella,1727,prayer,Religious,extracted from pg4738_Three_Prayers_and_Sermons.txt multi-work bundle,False
prayer_for_stella_2,pg4738_Three_Prayers_and_Sermons.txt,4738,"Second Prayer for Stella (Oct 17, 1727)",1727,prayer,Religious,extracted from pg4738_Three_Prayers_and_Sermons.txt multi-work bundle,False
prayer_for_stella_3,pg4738_Three_Prayers_and_Sermons.txt,4738,"Third Prayer for Stella (Nov 6, 1727)",1727,prayer,Religious,extracted from pg4738_Three_Prayers_and_Sermons.txt multi-work bundle,False
sermon_mutual_subjection,pg4738_Three_Prayers_and_Sermons.txt,4738,On Mutual Subjection,1744,sermon,Religious,extracted from pg4738_Three_Prayers_and_Sermons.txt multi-work bundle,False
sermon_sleeping_in_church,pg4738_Three_Prayers_and_Sermons.txt,4738,On Sleeping in Church,1744,sermon,Religious,extracted from pg4738_Three_Prayers_and_Sermons.txt multi-work bundle,False
sermon_wisdom_of_this_world,pg4738_Three_Prayers_and_Sermons.txt,4738,On the Wisdom of This World,1744,sermon,Religious,extracted from pg4738_Three_Prayers_and_Sermons.txt multi-work bundle,False
battle_of_books,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,The Battle of the Books,1697,allegorical_satire,Satire,includes Bookseller prefatory note and Author preface; main satire begins after,False
meditation_upon_broomstick,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,A Meditation Upon a Broomstick,1701,parody,Satire,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
predictions_for_1708,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,Predictions for the Year 1708,1708,mock_prediction,Satire,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
accomplishment_of_predictions,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,The Accomplishment of the First of Mr. Bickerstaff's Predictions,1708,mock_report,Satire,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
baucis_and_philemon,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,Baucis and Philemon,1709,mythological_poem,Verse,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
logicians_refuted,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,The Logicians Refuted,1707,verse_satire,Verse,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
puppet_show,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,The Puppet Show,1721,verse_satire,Verse,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
cadenus_and_vanessa,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,Cadenus and Vanessa,1713,autobiographical_poem,Verse,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
stella_birthday_1718,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,"Stella's Birthday, 1718",1718,birthday_poem,Verse,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
stella_birthday_1720,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,"Stella's Birthday, 1720",1720,birthday_poem,Verse,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
stella_birthday_1722,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,"Stella's Birthday, 1722",1722,birthday_poem,Verse,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
stella_birthday_1724,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,"Stella's Birthday, 1724",1724,birthday_poem,Verse,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
stella_birthday_1726,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,"Stella's Birthday, March 13, 1726",1726,birthday_poem,Verse,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
to_stella_visiting_sickness,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,"To Stella, Visiting me in my sickness",1727,personal_poem,Verse,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
beasts_confession,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,The Beasts' Confession,1732,beast_fable,Satire,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
argument_abolishing_christianity,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,An Argument Against Abolishing Christianity,1708,satirical_essay,Satire,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
hints_essay_conversation,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,Hints Towards an Essay on Conversation,1710,social_essay,Essay,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
thoughts_various_subjects,pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt,623,Thoughts on Various Subjects,1727,aphorisms,Essay,extracted from pg623_Battle_of_the_Books_and_Other_Short_Pieces.txt multi-work bundle,False
drapiers_letter_1,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,"The Drapier's First Letter (To the Shop-keepers, Tradesmen, Farmers, and Common People of Ireland)",1724,political_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
drapiers_letter_2,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,The Drapier's Second Letter,1724,political_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
drapiers_letter_3,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,The Drapier's Third Letter,1724,political_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
drapiers_letter_4,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,The Drapier's Fourth Letter (To the Whole People of Ireland),1724,political_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
drapiers_letter_5,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,The Drapier's Fifth Letter,1724,political_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
drapiers_letter_6,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,The Drapier's Sixth Letter,1724,political_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
drapiers_letter_7,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,The Drapier's Seventh Letter,1724,political_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
address_to_jury,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,The Address to the Jury,1724,political_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
description_of_quilca,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,Swift's Description of Quilca,1725,satirical_sketch,Satire,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
blunders_of_quilca,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,"The Blunders, Deficiencies, Distresses, and Misfortunes of Quilca",1725,satirical_sketch,Satire,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
answer_to_a_paper,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,Answer to a Paper,1728,political_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
maxims_controlled,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,Maxims Controulled in Ireland,1729,political_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
injured_lady,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,The Story of the Injured Lady,1707,allegorical_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
answer_to_injured_lady,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,The Answer to the Injured Lady,1707,allegorical_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
two_letters_irish_improvement,pg37156_Ireland_in_the_Days_of_Dean_Swift.txt,37156,Two Letters on Subjects Relative to the Improvement of Ireland,1729,political_tract,Political,extracted from pg37156_Ireland_in_the_Days_of_Dean_Swift.txt multi-work bundle,False
polite_conversation_intro,pg60186_Polite_Conversation_in_Three_Dialogues.txt,60186,Polite Conversation: Introduction,1738,satirical_essay,Satire,extracted from pg60186_Polite_Conversation_in_Three_Dialogues.txt multi-work bundle,False
polite_conversation_dialogue_1,pg60186_Polite_Conversation_in_Three_Dialogues.txt,60186,Polite Conversation: Dialogue I,1738,satirical_dialogue,Satire,extracted from pg60186_Polite_Conversation_in_Three_Dialogues.txt multi-work bundle,False
polite_conversation_dialogue_2,pg60186_Polite_Conversation_in_Three_Dialogues.txt,60186,Polite Conversation: Dialogue II,1738,satirical_dialogue,Satire,extracted from pg60186_Polite_Conversation_in_Three_Dialogues.txt multi-work bundle,False
